keys,en
move.fire_strike.desc,A blazing strike that engulfs the foe. May inflict burn.
move.flame_burst.name,Flame Burst
move.flame_burst.desc,A devastating explosion of flames. Powerful but risky. May burn.
move.iron_cleave.name,Iron Cleave
move.iron_cleave.desc,Strikes 2-5 times with an iron blade. Multi-hit attack.
move.metal_slash.name,Metal Slash
move.metal_slash.desc,A sharp metallic slash. The user takes recoil damage.
move.war_cry.name,War Cry
move.war_cry.desc,A fearsome battle cry that may charm the foe, reducing their attack.
move.water_surge.name,Water Surge
move.water_surge.desc,A surge of water that slows the target. Reduces target's speed.
move.wood_heal.name,Wood Heal
move.wood_heal.desc,Channels the power of wood to restore HP. Heals 50% of max HP.
effect.burn.name,Burn
effect.burn.desc,Deals damage over time each turn. Reduces attack.
effect.poison.name,Poison
effect.poison.desc,Deals increasing damage over time. Damage escalates each turn.
effect.confusion.name,Confusion
effect.confusion.desc,May cause the target to hit itself instead of acting.
effect.chain.name,Chain
effect.chain.desc,Links damage across multiple targets. Spreads incoming damage.
effect.charm.name,Charm
effect.charm.desc,Reduces the target's attack through enchantment.
ui.category_physical,Phys
ui.category_arts,Arts
ui.move_stats,P:%d A:%d%% %s
ui.enemy_acted,Enemy acted.
ui.action_executed,Action executed.
ui.name_type_format,%s (%s)
