keys,ja
char.da_qiao.desc,橋姉妹の長女で孫策の妻。その悲しみは長く謡われた美人。
char.dian_wei.name,典韋
char.dian_wei.desc,曹操最初の護衛。主君の逃走を掩護し、双戟を振るって数十の敵を討ち取って戦死した。
char.diao_chan.name,貂蝉
char.diao_chan.desc,三国時代を彩る絶世の美女。その魅力は英雄たちの心を揺さぶる。
char.dong_zhuo.name,董卓
char.dong_zhuo.desc,漢の都を奪った暴君。その暴虐が自らを倒す連合軍を生み出した。
char.gan_ning.name,甘寧
char.gan_ning.desc,呉の「錦帆賊」。夜襲で曹操の軍船千艘を焼き払った。
char.guan_yu.name,関羽
char.guan_yu.desc,武神。その刀は忠義と同じく鋭く、敵対する者すべてを斬り裂く。
char.guo_jia.name,郭嘉
char.guo_jia.desc,曹操が最も頼りにした軍師。若くして世を去ったが、その先見が北方制覇をもたらした。
char.hua_tuo.name,華佗
char.hua_tuo.desc,伝説の名医。その手術と麻酔の技は時代を数世紀先取りしていた。
char.huang_yue_ying.name,黄月英
char.huang_yue_ying.desc,諸葛亮の妻であり発明家。木牛流馬と連弩は彼女の才覚によるものとされる。
char.huang_zhong.name,黄忠
char.huang_zhong.desc,蜀の老練な弓術士。齢を重ねても狙いも闘志も衰えない。
char.jiang_wei.name,姜維
char.jiang_wei.desc,北伐の意志を継いだ諸葛亮の後継者。師の死後も蜀の悲願を担い続けた。
char.liu_bei.name,劉備
char.liu_bei.desc,仁徳の君主・蜀の創始者。仁愛と漢室再興の志で天下の人心を掴んだ。
char.lu_bu.name,呂布
char.lu_bu.desc,天下無双の飛将。武勇は並ぶ者がないが、野心は忠義を知らない。
char.lu_xun.name,陸遜
char.lu_xun.desc,呉の静かなる炎。夷陵で劉備の大軍を焼き尽くし、十年にわたり魏を出し抜いた。
char.lv_meng.name,呂蒙
char.lv_meng.desc,呉の学者将軍。関羽の亡霊に取り憑かれて没したが、その計略は先に敵将の首を獲っていた。
char.ma_chao.name,馬超
char.ma_chao.desc,西涼の若き将。その騎馬隊の突撃は風の如く速い。
char.pang_tong.name,龐統
char.pang_tong.desc,「鳳雛」と称され諸葛亮と並び称された天才。落鳳坡でその生涯を閉じた。
char.si_ma_yi.name,司馬懿
char.si_ma_yi.desc,魏の最高の戦略家。忍耐と計算で、すべてのライバルより長く生き延びた。
char.sun_ce.name,孫策
char.sun_ce.desc,「小覇王」。千の兵を率いて一挙に呉の礎を築いた。
char.sun_quan.name,孫権
char.sun_quan.desc,江東の若き虎。不動の決意で呉の国を築き上げた。
char.sun_shang_xiang.name,孫尚香
char.sun_shang_xiang.desc,孫権の妹で武に秀でた姫。劉備に嫁いだ。将に劣らぬ剣の使い手。
char.tai_shi_ci.name,太史慈
char.tai_shi_ci.desc,並ぶ者なき弓の名手で忠義の士。最後の矢まで呉に尽くした。
char.wei_yan.name,魏延
char.wei_yan.desc,勇猛誇り高い蜀の将。その才能は猜疑と激しやすい気性に影を落とされた。
char.xia_hou_dun.name,夏侯惇
char.xia_hou_dun.desc,魏の隻眼将軍。その烈しい忠義と剛毅は伝説となっている。
char.xia_hou_yuan.name,夏侯淵
char.xia_hou_yuan.desc,機敏で剛勇な魏の将。定軍山で黄忠の手にかかり命を落とした。
char.xu_chu.name,許褚
char.xu_chu.desc,曹操に仕える巨漢の護衛。その怪力は千人の兵に匹敵すると言われる。
char.xun_yu.name,荀彧
char.xun_yu.desc,魏の民政の設計者。曹操興隆の真の柱と称された。
char.yuan_shao.name,袁紹
char.yuan_shao.desc,北方の大領主。勢力は圧倒的だったが、官渡の戦いでの優柔不断が命取りとなった。
char.zhang_fei.name,張飛
char.zhang_fei.desc,蜀の猛将。その気迫だけで戦局を覆すこともある。
char.zhang_jiao.name,張角
char.zhang_jiao.desc,黄巾の「大賢良師」。その蜂起は漢王朝の根幹を揺るがした。
char.zhang_liao.name,張遼
char.zhang_liao.desc,魏きっての猛将。合肥で孫権の大軍を撃退し、八百の兵で千の兵を退けた。
char.zhao_yun.name,趙雲
char.zhao_yun.desc,常山の龍。武勇と忠誠に揺るぎのない将。
char.zhen_ji.name,甄姫
char.zhen_ji.desc,魏の宮廷に名高い美女・甄氏。気品と洞察に優れ、曹家に寵愛された。
char.zhou_yu.name,周瑜
char.zhou_yu.desc,美丈夫の都督。その戦略は炎のように燃え盛り、鳳の如く速やかに敵を討つ。
char.zhuge_liang.name,諸葛亮
char.zhuge_liang.desc,臥竜。英知と先見で五行を操る稀代の軍師。
move.earth_barrier.name,土壁
move.earth_barrier.desc,石の壁を築き、自分の防御をぐっと上げる。
move.fire_strike.name,炎撃
move.fire_strike.desc,敵を焼き尽くす炎の一撃。火傷を負わせることがある。
move.flame_burst.name,炎爆
move.flame_burst.desc,破壊力抜群の炎の爆発。強力だが危険。火傷を与えることがある。
move.iron_cleave.name,鉄裂
move.iron_cleave.desc,鉄の刃で2〜5回連続攻撃する。
move.metal_slash.name,金斬
move.metal_slash.desc,鋭い金属の斬撃。自分も反動ダメージを受ける。
move.war_cry.name,戦声
move.war_cry.desc,敵を畏怖させる雄叫び。魅了して攻撃力を下げることがある。
move.water_surge.name,水衝
move.water_surge.desc,水の奔流で敵を鈍らせる。敵の素早さを下げる。
move.wood_heal.name,木癒
move.wood_heal.desc,木の力を通してHPを回復する。最大HPの50%を回復。
effect.burn.name,火傷
effect.burn.desc,毎ターン継続ダメージを与える。攻撃力を下げる。
effect.poison.name,毒
effect.poison.desc,毎ターンダメージが増加する継続毒。
effect.confusion.name,混乱
effect.confusion.desc,敵が混乱し、行動の代わりに自分を攻撃することがある。
effect.chain.name,連鎖
effect.chain.desc,複数の敵にダメージを連鎖させる。受けたダメージを分散する。
effect.charm.name,魅了
effect.charm.desc,魅了によって敵の攻撃力を下げる。
ui.category_physical,物理
ui.category_arts,術式
ui.move_stats,威力:%d 命中:%d%% %s
ui.enemy_acted,敵が行動した。
ui.action_executed,行動を実行した。
ui.name_type_format,%s（%s）
