keys,zh_TW
char.dian_wei.name,典韋
char.dian_wei.desc,曹操的首席護衛。為掩護主公撤退，以雙戟斬殺數十敵後戰死。
char.diao_chan.name,貂蟬
char.diao_chan.desc,三國時期的絕色美女。她的魅力動搖著英雄們的心。
char.dong_zhuo.name,董卓
char.dong_zhuo.desc,佔據漢都的暴君。他的殘暴促成了討伐他的聯盟。
char.gan_ning.name,甘寧
char.gan_ning.desc,吳國的「錦帆賊」將軍。水戰令敵膽寒，夜襲火燒曹軍千艘戰船。
char.guan_yu.name,關羽
char.guan_yu.desc,武聖。刀鋒與忠義一樣鋒利，斬盡一切來敵。
char.guo_jia.name,郭嘉
char.guo_jia.desc,曹操最鋒利的謀士。英年早逝，但其遠見早已助曹平定北方。
char.hua_tuo.name,華佗
char.hua_tuo.desc,傳奇神醫。他的外科手術與麻沸散領先時代數百年。
char.huang_yue_ying.name,黃月英
char.huang_yue_ying.desc,諸葛亮的妻子，同為發明家。木牛流馬與連弩出自她的巧思。
char.huang_zhong.name,黃忠
char.huang_zhong.desc,蜀國老將神射手。年歲未曾削弱他的箭術與鬥志。
char.jiang_wei.name,姜維
char.jiang_wei.desc,諸葛亮北伐的繼承人。在丞相去世後仍延續蜀漢的志向。
char.liu_bei.name,劉備
char.liu_bei.desc,蜀漢仁德的開國君主。以仁義和興復漢室之志贏得天下人心。
char.lu_bu.name,呂布
char.lu_bu.desc,天下無雙的飛將。武藝無人能敵，但野心使其不忠。
char.lu_xun.name,陸遜
char.lu_xun.desc,吳國沉穩的烈焰。夷陵之戰火燒劉備大軍，十餘年間智勝魏國。
char.lv_meng.name,呂蒙
char.lv_meng.desc,吳國「士別三日」的儒將。雖為關羽之魂所擾，但其計謀已先取下敵人首級。
char.ma_chao.name,馬超
char.ma_chao.desc,西涼少年將軍。騎兵衝鋒迅疾如風。
char.pang_tong.name,龐統
char.pang_tong.desc,號「鳳雛」，與諸葛亮齊名的天才。英才早逝於落鳳坡。
char.si_ma_yi.name,司馬懿
char.si_ma_yi.desc,魏國謀主。隱忍而多謀，熬過了所有對手。
char.sun_ce.name,孫策
char.sun_ce.desc,「小霸王」。以千餘人馬一舉奠定東吳基業。
char.sun_quan.name,孫權
char.sun_quan.desc,江東年少虎君。以堅定的意志建立吳國。
char.sun_shang_xiang.name,孫尚香
char.sun_shang_xiang.desc,孫權的妹妹，嫁與劉備。武藝不遜於任何將領。
char.tai_shi_ci.name,太史慈
char.tai_shi_ci.desc,箭術無雙的忠義之士。畢生效忠東吳，直至射出最後一箭。
char.wei_yan.name,魏延
char.wei_yan.desc,勇猛自傲的蜀將。才能因猜忌與暴烈性情而蒙塵。
char.xia_hou_dun.name,夏侯惇
char.xia_hou_dun.desc,魏國獨眼將軍。忠誠與剛烈為人稱道。
char.xia_hou_yuan.name,夏侯淵
char.xia_hou_yuan.desc,迅捷勇猛的魏將。定軍山之戰為黃忠所斬。
char.xu_chu.name,許褚
char.xu_chu.desc,曹操的巨漢護衛。相傳力可敵千軍。
char.xun_yu.name,荀彧
char.xun_yu.desc,魏國文治的奠基人，常被稱為曹操崛起的真正支柱。
char.yuan_shao.name,袁紹
char.yuan_shao.desc,北方豪強。兵多將廣，卻在官渡因優柔寡斷而一敗塗地。
char.zhang_fei.name,張飛
char.zhang_fei.desc,蜀漢猛將。單憑威勢便可扭轉戰局。
char.zhang_jiao.name,張角
char.zhang_jiao.desc,黃巾軍「大賢良師」。其起義動搖了漢室根基。
char.zhang_liao.name,張遼
char.zhang_liao.desc,魏國最令敵膽寒的將領。合肥以八百破孫權十萬。
char.zhao_yun.name,趙雲
char.zhao_yun.desc,常山趙子龍。武藝絕倫，忠勇無雙。
char.zhen_ji.name,甄姬
char.zhen_ji.desc,曹魏宮廷聞名的美女甄氏。端莊聰慧，深受曹家寵愛。
char.zhou_yu.name,周瑜
char.zhou_yu.desc,周郎美姿容。謀略如火，用兵如鳳，迅捷而熾烈。
char.zhuge_liang.name,諸葛亮
char.zhuge_liang.desc,臥龍。以智慧與遠見統御五行的絕世謀臣。
move.earth_barrier.name,土壁
move.earth_barrier.desc,築起石壁，大幅提升自身防禦。
move.fire_strike.name,炎擊
move.fire_strike.desc,灼燒敵人的火焰一擊。可能造成灼燒。
move.flame_burst.name,炎爆
move.flame_burst.desc,毀滅性的火焰爆發。威力強大但有風險，可能造成灼燒。
move.iron_cleave.name,鐵裂
move.iron_cleave.desc,以鐵刃連續攻擊2-5次的多段攻擊。
move.metal_slash.name,金斬
move.metal_slash.desc,鋒利的金屬斬擊。使用者會承受反作用傷害。
move.war_cry.name,戰吼
move.war_cry.desc,令敵膽寒的戰吼。可能魅惑敵人，降低其攻擊。
move.water_surge.name,水衝
move.water_surge.desc,以水流衝擊減緩目標，降低其速度。
move.wood_heal.name,木癒
move.wood_heal.desc,借木之力恢復體力。回復最大體力的50%。
effect.burn.name,灼燒
effect.burn.desc,每回合造成持續傷害，並降低攻擊。
effect.poison.name,中毒
effect.poison.desc,持續傷害，每回合傷害遞增。
effect.confusion.name,混亂
effect.confusion.desc,可能使目標混亂，行動時攻擊自己。
effect.chain.name,連鎖
effect.chain.desc,在多個目標間連鎖傷害，分攤受到的傷害。
effect.charm.name,魅惑
effect.charm.desc,以魅惑降低目標的攻擊。
ui.category_physical,物理
ui.category_arts,法術
ui.move_stats,威力:%d 命中:%d%% %s
ui.enemy_acted,敵方行動了。
ui.action_executed,行動已執行。
ui.name_type_format,%s（%s）
ui.corps_settings,編隊設定
ui.save_and_back,保存並返回
ui.start_disabled_hint,請先編成6名武將
